index,artist,title,mood,lyrics
ML497,Cassandra Wilson,Time After Time,neg,"3 ContributorsTime After Time LyricsLying in my bed I hear the clock tick
And I think of you
Caught up in circles
Confusion is nothing new
Flashback warm nights
Almost left behind
Suitcases of memories
Time after
Sometimes you picture me
And I'm walking too far ahead
You're calling to me, and I can't hear
What you've said
Then you say go slow
I fall behind
The second hand unwinds
If you're lost you can look, you will find me
Time after time
If you fall I will catch you I'll be waiting
Time after

My picture fades and darkness has
Turned to gray
Watching through windows you're wondering
If I'm OK
Secrets stolen from deep inside
The drum beats out of time
You might also likeIf you're lost you can look, you will find me
Time after time
If you fall I will catch you I'll be waiting
Time after time
Mmm...Embed"
ML498,Patrice Rushen,Remind Me,pos,"10 ContributorsRemind Me Lyrics[Verse 1]
I can recall a certain magic in your eyes
I'm under your spell each time that you appear
A kiss so passionate that has me mesmerized
I fall more in love each time that you are near

Star light, star bright
Your love shines near or far just like
The brightest star
Sweet things you do
It sets my heart aglow
And I want you to know

[Chorus]
They remind me (I'm lucky I'm falling)
Hmm-hmm (In love with you darling)
Remind me, yeah yeah (I'm lucky I'm falling)
Hmm-hmm (In love with you darling)

[Verse 2]
You hold me close and whisper soft and low
Those three little words that mean so much to me
You know how to make my feelings show
We're just like a song in perfect harmony

[Chorus]
You remind me, yeah yeah (I'm lucky I'm falling)
Hmm-hmm (In love with you darling)
Remind me, yeah yeah (I'm lucky I'm falling)
Hmm hmm (In love with you darling)
Remind me, yeah yeah (I'm lucky I'm falling)
Hmm hmm (In love with you darling)
Remind me, yeah yeah (I'm lucky I'm falling)
Hmm hmm (In love with you darling)
You might also like[Bridge]
You whisper soft and low
Touch me hold me
Don't let me go
I love you so
That magic in your eyes
Looked right through me
I'm hypnotized, mesmerized
You whisper soft and low
Touch me hold me
Don't let me go
I love you so

[Chorus]
You remind me, yeah yeah (I'm lucky I'm falling)
Hmm hmm (In love with you darling)
Remind me, yeah yeah (I'm lucky I'm falling)
Hmm hmm (In love with you darling)

[Outro]
Remind me, yeah yeah
You whisper soft and low, touch me hold me, don't let me go
(I'm lucky I'm falling) I love you so
Hmm hmm (In love with you darling)
Remind me, yeah yeah
That magic in your eyes, looked right through me
I'm hypnotized, mesmerized
(I'm lucky I'm falling)
Hmm hmm (In love with you darling)
You remind me, yeah yeah
You whisper soft and low, touch me hold me, don't let me go
(I'm lucky I'm falling) I love you so
Hmm hmm (In love with you darling)
Remind me, yeah yeah
That magic in your eyes, looked right through me
I'm hypnotized, mesmerized
(I'm lucky I'm falling)
Hmm hmm (In love with you darling)4Embed"
ML499,Curtis Mayfield,Give Me Your Love ,pos,"3 ContributorsDream Album: KUZGUN LyricsAlbum Title: The Coward's Gamble
Exec. Producers: KUZGUN, Kanye West, DJ Khaled, Jay Z, Nas, & Pusha T
Label(s):
US Distribution/Marketing: GOOD Music
UK Distribution: ESGN
Rest Of World Distribution: Mass Appeal
Promotion: We The Best Music
Publishing: Roc-a-fella Records
Filmography: Hype Williams/Director X/Benny Boom


1. ""Coward's Gamble (Intro)"" (feat. DJ Khaled)
Writers: KUZGUN, DJ Khaled
Producer: N/A [Skit]
Additional Production: KUZGUN [Misc. Sounds]
Recorded At: Alan's House Studio at Atlanta, GA

DJ Khaled appears courtesy of We The Best/Epic Records2. ""Coward's Gamble"" (feat. Frank Ocean, Common, Isaiah Rashad, Chance The Rapper, Andre 3000, R. Kelly, Erykah Badu, Q-Tip, Yasiin Bey, Kanye West, Black Thought, & Beyoncé) (5th Single)
Writers: KUZGUN, Frank Ocean, Common, Isaiah Rashad, Chance The Rapper, Andre 3000, R. Kelly, Erykah Badu, Q-Tip, Yasiin Bey, Kanye West, Black Thought
Producers: The Roots
Additional Production: Yasiin Bey [Bass], T-Pain [Drums], Kanye West [Piano], Andre 3000 [Guitar], Eric Rawls [Guitar], DJ Premier [DJ/Turntables]
Background Vocals: Vic Mensa, T-Pain
Recorded At: The Dungeon in Atlanta, GA

Frank Ocean appears courtesy of Def Jam
Common appears courtesy of Artium Recordings
Isaiah Rashad appears courtesy of Top Dawg Entertainment
Chance The Rapper appears courtesy of Chance The Rapper, LLC
Andre 3000 appears courtesy of Epic Records
R. Kelly appears courtesy of RCA Records
Erykah Badu appears courtesy of Republic Records
Q-Tip appears courtesy of Def Jam
Yasiin Bey appears courtesy of GOOD Music/Downtown
Kanye West appears courtesy of GOOD Music/Def Jam
Black Thought appears courtesy of Okayplayer
Beyonce appears courtesy of Parkwood Records3. ""Will Kill Rappers 4 Food"" [Skit]
Writers: KUZGUN, Dave Chappelle
Producer: N/A [Skit]
Additional Production: KUZGUN [Misc. Sounds]
Background Vocals: Dave Chappelle, 50 Cent4. ""R.E.A.L.""
Writers: KUZGUN, John Legend
Producer: KUZGUN
Samples: “Get Lifted” by John Legend5. ""G.O.D."" (feat. Kanye West) (7th Single) [Released After Album]
Writers: KUZGUN, Kanye West, Ghostface Killah
Producers: Kanye West & Madlib
Additional Vocals: 50 Cent
Samples: “Mighty Healthy” by Ghostface Killah, “The First Time I Ever Saw Your Face” by Timmy Thomas, “Give Me Your Love” by Curtis Mayfield, & “Spider Baby” by Ronald Stein
Kanye West appears courtesy of GOOD Music/Def Jam6. ""By Any And All Means (feat. Pusha T)""
Writers: KUZGUN, Pusha T, Jadakiss, Flying Lotus
Producer: Flying Lotus
Additional Vocals: Jadakiss
Samples: “Nature Boy” by The Singers Unlimited

Pusha T appears courtesy of GOOD Music/Def Jam7. ""Another One"" [Interlude]
Writers: KUZGUN, DJ Khaled
Producer: KUZGUN
Samples: Snapchat Post: “Another One”, by DJ Khaled8. ""Good Girl // Bad Bitch"" (feat. Rihanna & The Weeknd) (1st Single)
Writers: KUZGUN, Rihanna, The Weeknd
Producers: Illangelo, No ID, DJ Mustard

Rihanna appears courtesy of Westonbury Road Entertainment/Roc Nation
The Weeknd appears courtesy of XO/Republic Records9. ""Wiley's Interlude/Driver's Interlude"" [Interlude]
Writers: J Wiley, Amir Driver, Sway Calloway, KUZGUN
Producer: Chris Wheeler
Additonal Production: Sway Calloway [Scratches/Turntables]
Additional Vocals: J Wiley, Amir Driver, Sway Calloway10. ""Col[ossal] 3:23""
Writers: KUZGUN, YG, Dr. Dre, Nas, Pusha T
Producers: Dr. Dre, Madlib
Samples: “The Message” by Nas, “Exodus 23:1” by Pusha T11. ""Michael Jordan"" (feat. Lil Wayne, Kevin Gates, & Jay Z) (4th Single)
Writers: KUZGUN, Lil Wayne, Jay Z, Big K.R.I.T
Producers: Metro Boomin’, LondonOnDaTrack, Swizz Beats, Timbaland, Mike WiLL Made-It
Samples: “Country Shit (Remix)” by Big K.R.I.T
Lil Wayne appears courtesy of Young Money Entertainment/Other Label Owned By A Fraud
Kevin Gates appears courtesy of Dead Game/Atlantic Records
Jay Z appears courtesy of Roc Nation/Roc-a-fella Records12. ""Big Homiez""
Writers: KUZGUN, Dr. Dre, The Game
Producers: Dr. Dre, Daz Dillinger
Additional Production: Kanye West [Keys], KUZGUN [Keys]
Additional Vocals: Snoop Dogg, The Game, Dr. Dre13. ""Sleepless"" (feat. The-Dream, Kanye West, & Chris Brown) (2nd Single)
Writers: KUZGUN, The-Dream, Kanye West, Jamie Foxx, Chris Brown
Producers: Tricky Stewart, The-Dream
Additional Vocals: Jamie Foxx
Samples: “Digital Girl” by Jamie Foxx

The-Dream appears courtesy of Radio Killa/Capitol Records
Kanye West appears courtesy of GOOD Music/Def Jam
Chris Brown appears courtesy of CBE Records14. ""LETSGO"" (feat. Usher) (3rd Single)
Writers: KUZGUN, Usher, Lil Jon, Ludacris
Producer: Lil Jon, KUZGUN
Additional Vocals: Lil Jon, Ludacris
Samples: “Yeah!” by Usher

Usher appears courtesy of RBMG Records15. ""Pornstar"" (feat. Bryson Tiller)
Writers: KUZGUN, Bryson Tiller, Kanye West
Producer: KUZGUN, Bryson Tiller
Samples: ""Hell Of A Life"" by Kanye West

Bryson Tiller appears courtesy of RCA Records16. ""Bounty Hunters"" (feat. Royce Da 5'9"", Raekwon, & Kool G Rap)
Writers: KUZGUN, Royce Da 5’9”, Raekwon, Kool G Rap, AC/DC
Producer: RZA
Additional Production: KUZGUN [Drums]
Additional Vocals: Brian Johnson
Samples: “Back In Black” by AC/DC
Royce Da 5'9"" appears courtesy of Shady Records
Raekwon appears courtesy of Ice H20/EMI Group Limited
Kool G Rap appears courtesy of Fullmettle17. ""GIRL"" (feat. T-Pain) (6th Single) [Released After Album]
Writers: KUZGUN, T-Pain, The-Dream
Producer: The-Dream, KUZGUN
Additional Vocals: The-Dream

T-Pain appears courtesy of RCA Records18. ""Netflix & Chill"" (feat. Future & Young Thug)
Writers: KUZGUN, Future, Young Thug
Producer: Metro Boomin’, Frank Dukes

Future appears courtesy of Freebandz/Epic Records
Young Thug appears courtesy of 300/Atlantic Records19. ""Diablo In A Murcielago""
Writers: KUZGUN, DJ Premier
Producer: DJ PremierBonus Album #1: The American DreamAlbum Title: The American Dream
Exec. Producers: KUZGUN, Jay Z, Kanye West, & Pusha T
Labels: GOOD Music/Quality Control/We The Best Music
Filmography: KUZGUN/Hype Williams1. ""Hood Tales To The American Dream"" (feat. DJ Khaled)
(A. Raven, K. Khaled)
Writers: KUZGUN
Producers: N/A [Skit]
Recorded At: Alan's House Studio in Atlanta, GA

DJ Khaled appears courtesy of We The Best/Epic2. ""The American Dream"" (feat. Lil Wayne, 2 Chainz, Ace Hood, Bryson Tiller, & Lana Del Rey) [7th Single]
(A. Raven, D. Carter, T. Epps, A. McColister, B. Tiller, L. Del Rey)

Writers: KUZGUN, Lil Wayne, 2 Chainz, Ace Hood, Lana Del Rey
Producers: 9th Wonder, Kanye West, Mike Dean, Brian ""All Day"" Miller
Additional Vocals: Francis & The Lights

Lil Wayne appears courtesy of Young Money Entertainment
2 Chainz appears courtesy of Def Jam
Ace Hood appears courtesy of We The Best
Bryson Tiller appears courtesy of RCA Records
Lana Del Rey appears courtesy of Interscope/Polydor3. ""Margot Robbie"" (feat. Chris Brown & Big Sean) [2nd Single]
(A. Raven, C. Brown, K. West, Q. Marshall, L. Wayne, M. Dean)

Writers: KUZGUN, Kanye West, Chris Brown, Big Sean, Quavo
Producers: Kanye West, Metro Boomin', Mike Dean

Chris Brown appears courtesy of CBE Records
Big Sean appears courtesy of GOOD Music/Def Jam
Special Thanks To Margot & a bunch of other actresses and female celebrities I'm too high to remember for being naked in the video. Oh fuck, you can't watch videos with nudity on YT. Well, you're fucked. NO, GO TO FUCKING PORNHUB LIKE NORMAL PEOPLE4. ""Trippin'"" (feat. The Weeknd, Travis Scott, Young Thug, Lil Wayne, Future, Swae Lee, Post Malone, & Ty Dolla $ign) [3rd Single]
(A. Raven, A. Tesfaye, J. Webster, J. Adams, D. Carter, N. Wilburn, K. Brown, A. Post, T. Griffin Jr., R. Isley, E. Isley, F. Dukes, L. Wayne, J. Luellen, B. Simmons, M. Williams II, D. MacFarlane, K. West)

Writers: KUZGUN, The Weeknd, Travis Scott, Young Thug, Lil Wayne, Future, Swae Lee, Post Malone, Ty Dolla $ign, Isley Brothers
Producers: Frank Dukes, Metro Boomin', Southside, TM88, Mike WiLL Made-It, DJ Mustard, Kanye West
Samples: ""For The Love Of You"" by Isley Brothers

The Weeknd appears courtesy of XO/Republic
Travis Scott appears courtesy of Grand Hustle/GOOD Music
Young Thug appears courtesy of 300 Entertainment
Lil Wayne appears courtesy of Young Money Entertainment
Future appears courtesy of Freebandz/Epic
Swae Lee appears courtesy of Ear Drummers Ent
Post Malone appears courtesy of Republic5. ""After-Party""
(A. Raven, S. Carter, R. Kelly, J. Dupri)

Writers: KUZGUN, Jay Z, R. Kelly
Producers: Jermaine Dupri
Additional Vocals: R. Kelly
Samples: ""Fiesta Remix"" by R. Kelly & Jay Z

R. Kelly appears courtesy of RCA Records6. ""Club Turnt"" (feat. Drake, Fetty Wap, Jeremih, & A$AP Rocky) [1st Single]
(A. Raven, W. Maxwell II, J. Felton, R. Mayers, K. Jackson, D. MacFarlane, N. Shebib)

Writers: KUZGUN, Drake, Fetty Wap, DJ Mustard, YG, A$AP Rocky
Producers: DJ Mustard, Noah ""40"" Shebib
Samples: ""I'm Good"" by YG

Drake appears courtesy of OVO Sound
Fetty Wap appears courtesy of 300 Ent
Jeremih appears courtesy of Def Jam
A$AP Rocky appears courtesy of A$AP Worldwide/RCA Records7. ""She"" (feat. André 3000)
(A. Raven, A. Benjamin, F. Crum, E. Serrano, A. Haughton)

Writers: KUZGUN, André 3000
Producers: Tuneheadz, André 3000
Samples: ""I Miss You"" by Aaliyah

André 3000 appears courtesy of Epic Records""8. Would U?"" (feat. Tory Lanez)
(A. Raven, D. Peterson, C. Jackson, N. Hale, A. Douglas, R. Kelly, J. Atkins, K. West, M. Hernandez, R. Evans)
Writers: KUZGUN, Tory Lanez, 50 Cent, Nate Dogg, Ashanti, R. Kelly, Ja Rule
Producers: KUZGUN, Kanye West, The Mekanics
Additional Vocals: R. Kelly & Ashanti
Samples: ""21 Questions"" by 50 Cent, ""Wonderful (Remix) by Ashanti

Tory Lanez appears courtesy of Mad Love/Interscope
R. Kelly appears courtesy of RCA Records
Ashanti appears courtesy of eOne/Written Entermainment9.  ""Satire Gangstas"" [Interlude]
(A. Raven, D. Natche)

Writers: KUZGUN
Producers: KUZGUN, DJ Dahi10. ""Escobar/Blanco"" (feat. Pusha T, Nas, Jay Z, Kool G Rap, Big Daddy Kane, Ghostface Killah, Raekwon, RZA, TI, Fat Joe, Fabolous, Rick Ross, Scarface, Kevin Gates, & Jadakiss) [6th Single]
(A. Raven, T. Thornton, N. Jones, S. Carter,  N. Wilson, A. Hardy, D. Coles, C. Woods, R. Diggs, C. Harris, J. Cartagena, J. Jackson, W. Roberts II, B. Jordan, K. Gilyard, J. Phillips, J. Olivier, S. Barnes, O. Jackson Jr., F. Pimentel, D. Richards, A. Mizell, F. Perren, B. Gordy, J. Brown, A. Tilmon, J. Ellis III, G. Husbands, D. Washington, M. Steals (Mervin), M. Steals (Melvin), D. Smith, M. Martin, D. Bey, G. Thornton, P. Williams, C. Hugo, K. Khaled, N. Wilburn, J. Luellen, J. Dutton, R. Mandell, R. Mayers, A. Asllani, K. Lamar, C. Hollis, D. Sewell, J. Scott (Justin), J. Scott (Jo-Vaughn), A. Nasri, M. Williams, D. Clear, C. Curry, C. Smith, L. Hawkins, J. Hunter, R. Jones, J. Irief, R. Brown, K. West, M. Dean, L. Bricusse, A. Newley, K. Dean, R. Bell, L. Chambers, K. Gamble, O. Maraj, T. Smith Jr., F. Najim, S. Combs, M. McCollum, P. Moise, C. Butler, B. Freeman, T. Mosley, K. Joshua, B. Hamdi, W. Felder, R. Kelly, A. Wansel, M. Yusef, C. Smith, C. Martin, C. Bennett, N. Segal, N. Fox, P. Cottontale, P. Losnegård, A. Hamilton, K. Muchita)

Writers: KUZGUN, Pusha T, Nas, Jay Z, Kool G Rap, Big Daddy Kane, Ghostface Killah, Raekwon, RZA, TI, Fat Joe, Fabolous, Rick Ross, Scarface, Kevin Gates, Jadakiss
Producers: RZA, The Trackmasters, Madlib
Samples: ""Izzo (H.O.V.A)"" by Jay Z, ""Funky President"" by James Brown, ""Funky Drummer"" by James Brown, ""You're Getting A Little Too Smart"" by The Detroit Emeralds, ""I Got 5 On It"" by Luniz, ""Back Home"" by A$AP Rocky, ""Grindin'"" by Clipse, ""Nas Is Like"" by Nas, ""I Got The Keys"" by DJ Khaled, ""1Train"" by A$AP Rocky, ""Cakes"" by RZA, ""The Symphony"" by Marley Marl, ""Da Mystery Of Chessboxin"" by Wu-Tang Clan, ""Last Real Nigga Alive"" by Nas, ""New Day"" by Jay Z & Kanye West, ""Bring 'Em Out"" by TI, ""All I Do Is Win (Remix)"" by DJ Khaled, ""1Night"" by Lil' Yachty, ""To The World"" by Kanye West, ""NY State Of Mind"" by Nas, ""Angels"" by Chance The Rapper, ""Why?"" by Jadakiss


Pusha T appears courtesy of GOOD Music
Nas appears courtesy of Mass Appeal Records
Jay Z appears courtesy of Roc Nation
Kool G Rap appears courtesy of Fat Beats
Big Daddy Kane appears courtesy of Some Label, Inc
Ghostface Killah appears courtesy of Tommy Boy Ent
Raekwon appears courtesy of ICE H2O/EMI
RZA appears courtesy of Soul Temple/Tommy Boy Ent
TI appears courtesy of Grand Hustle
Fat Joe appears courtesy of Terror Squad
Fabolous appears courtesy of Street Family/Def Jam
Rick Ross appears courtesy of Maybach Music Group
Scarface appears courtesy of Facemob Music
Kevin Gates appears courtesy of Breadwinners Ent
Jadakiss appears courtesy of D-Block/Def Jam
Special Thanks to Jigga for getting permission to use most of these samples for free

Fuck everyone who's gonna try to sue me for ""not crediting them"" as writers even though they know their old crusty-ass names won't fit in the damn booklet11. ""BLVKK GVD"" [5th Single]
(A. Raven, C. Ocean, C. Najpa, K. West, M. Dean)

Writers: KUZGUN, Frank Ocean, 88-Keys, Kanye West
Producers: 88-Keys, Mike Dean
Additional Vocals: Frank Ocean, Kanye West

Frank Ocean appears courtesy of Def Jam
Kanye West appears courtesy of GOOD Music
Special Thanks to Frank Ocean for putting a heavy amount of cough syrup in Ye's drink so he could pass out. He was very visibly drunk. Fast-forward to the outro and you can hear some drunk psychopath yelling ""GOD GOD AHH BLACK GOD I'M JESUS AHHHHH"" over and over until a loud thud and a glass breaking. Yep, that's him12. ""Stripper"" (feat. Tory Lanez) [4th Single]
(A. Raven, D. Peterson, K. West, M. Caren, E. Wilson, M. Dean, S. Stewart, T.J. White, T. Butler, A. Iommi, J. Osbourne, W. Ward)

Writers: KUZGUN, Tory Lanez, Kanye West
Producers: Kanye West, Mike Dean
Samples: ""Hell Of A Life"" by Kanye West

Tory Lanez appears courtesy of Mad Love/Interscope13. ""Hard Drugs"" [Interlude]
(K. West, M. Dean)

Writers: N/A [Instrumental]
Producers: Kanye West

Special Thanks To Mike For Layering Some Leftover Yeezus Beats So It Sounds Like What Someone Is Hearing After Trying Too Much Heroin14. ""Wake Up"" [Outro]
(A. Raven)

Writers: KUZGUN
Producers: N/A [Skit]
Additional Production: KUZGUN [Played Around With Voice Modifier]

Bonus Album #2: Trilogy: Scrapped Songs/Sessions/Remixes
Bonus Album #3: Casus BelliYou might also like2Embed"
ML503,Darlene Zschech,Call Upon His Name ,pos,"2 ContributorsCall Upon His Name (Hymn) LyricsNot to us oh God
But to Your name all Glory
We give thanks and praise
To You alone forever
Praise Him all the earth
All creation bows to You
Nations stand in awe
He is the King of Glory
To You oh Lord
You reign in heaven and on earth
To You alone
As the earth is filled with the knowledge
Of the Lord
Call upon His name
The orphans and the widows
He'll lift you up again
And shower you with mercy
Bless You all my soul
Robed with strength and majesty
The Lion and the Lamb
Together come and worship
To You oh Lord
You reign in heaven and on earth
To You alone
As the earth is filled with Your wonder
To You oh Lord
You reign in heaven and on earth
To You alone
As the earth is filled with the knowledge
Of the Lord
All to You
Both now and evermore
Come and drink again
Be filled with living water
Call upon His name
He is the King of GloryYou might also likeEmbed"
ML504,Aaron Shust,To God Alone,pos,"5 ContributorsTo God Alone Lyrics[Verse 1]
Can You take me by the hand?
Can You use me as I am?
Break me into who You want me to be
When the time is finally right
Will You open up my eyes
And show me everything
You want me to see?
This life is not my own

[Chorus 1]
To God alone be the glory
To God alone be the praise
Everything I say and do
Let it be all for You
The glory is Yours alone
Yours alone

[Verse 2]
Take the offering I bring
You want more than what I sing
Can I give You every part of me?
Turn these pennies into gold
Take this life I call my own
Until I'm running after Your heart
I'm needing to let go
You might also like[Chorus 2]
To God alone be the glory
To God alone be the praise
Everything I say and do
Let it be all for You
The glory is Yours alone

[Bridge]
We will rise and we will fall
But You remain after all
You're glorious and beautiful
You're beautiful

[Chorus 2]
To God alone be the glory
To God alone be the praise
Everything I say and do
Let it be all for You
The glory is Yours alone
The glory is Yours alone
Yours alone
Yours aloneEmbed"
ML505,Laura Story,What A Savior,pos,"1 ContributorWhat a Savior LyricsAtoning sacrifice
Keeper of this life
Hallelujah You are savior
Beginning and the end
Forgiver of my sin
By Your mercy You have saved us

Jesus You are stronger
More than any other
Hallelujah what a savior
Jesus You are higher
My soul's deepest desire
Hallelujah what a savior
You are the shepherd king
You lead us by still waters
Hallelujah You are savior

You are my only hope
Your kindness is my friend
In Your presence You restore us

You are the way the truth and the life
You are my joy and salvation
Stood in my place taking my shameYou might also likeEmbed"
ML507,Newsong,My Heart's Already There,pos,"2 ContributorsMy Heart’s Already There LyricsAll right

I know that Heaven is real
I feel it in my heart
And it's a place I long for
Because it's where You are
So if tomorrow You decide that it's time
Hey, Lord, I'm ready
To leave this world behind

'Cause my heart is already there
In Heaven with You
Ain't it funny what love can do
And my heart is already there
And though I know my place now is here
My heart is already there

I know You're coming back soon, Lord
I can see the signs
Tellin' everyone about You
They're running out of time
I know You're waiting
'Cause You want them to see
How much of Heaven, Lord
Is living in me
You might also likeAnd my heart is already there
In Heaven with You
Ain't it funny what love can do
And my heart is already there
And though I know my place now is here
My heart is already there

It's getting harder to wait
Lord, I live for the day
When I see Your face
I just wanna see Your face

'Cause my heart is already there
In Heaven with You
Ain't it funny what love can do
And my heart is already there
And though I know my place now is here
My heart is already there

My heart is already there
In Heaven with You
Ain't it funny what love can do
And my heart is already there
And though I know my place now is here
My heart is already there
'Cause my heart is already there
In Heaven with You
Ain't it funny what love can do
And my heart is already there
And though I know my place now is here
My heart is already there

(My heart)
In Heaven with You
My heart is already there...Embed"
ML508,Britt Nicole,The Lost Get Found,neg,"12 ContributorsThe Lost Get Found Lyrics[Verse 1]
Hello my friend
I remember when you were
So alive with your wide eyes 'til the light
That you had in your heart was stolen
Now you say that it ain't worth stayin'
You wanna run, but you're hesitatin'
I'm talkin' to me

[Chorus]
Don't let your lights go down
Don't let your fire burn out
'Cause somewhere, somebody needs a reason to believe
Why don't you rise up now?
Don't be afraid to stand out
That's how the lost get found
The lost get found

[Verse 2]
So when you get the chance (When you get the chance)
Are you gonna take it?
There's a really big world at your fingertips
And you know you have the chance to change it
There's a girl in the street, she's cryin'
There's a man whose faith is dyin'
Love is calling you (It's calling you)
You might also like[Chorus]
Don't let your lights go down
Don't let your fire burn out
'Cause somewhere, somebody needs a reason to believe
Why don't you rise up now?
Don't be afraid to stand out
That's how the lost get found
The lost get found

[Bridge]
Why do we go with the flow?
Why take the easier road?
Why are we playin' it safe? (Why do we play it safe?)
Love came to show us the way
Love is a chance we should take
I'm movin' out of the gray
Da-da, da-da, da-da
Da-da, da-da, da-da

[Chorus]
Don't let your lights go down
Don't let your fire burn out
'Cause somewhere, somebody needs a reason to believe
(Stand out)
Don't let your lights go down
Don't let your fire burn out (Stand out)
'Cause somewhere, somebody needs a reason to believe
Why don't you rise up now?
Don't be afraid to stand out
That's how the lost get found
The lost get found
[Outro]
So when you get the chance
Are you gonna take it?
There's a really big world at your fingertips
And you know you have the chance to change it1Embed"
ML509,Jadon Lavik,Hear Our Song,pos,"1 ContributorHear Our Song LyricsIn joyous surrender
With our eyes fixed you
May our lives bring you glory
To serve you in all that we do

In joyous surrender
With our hearts full of praise
We sing of your mercy
We sing of your love and your grace

Father hear our song
A song of praise to the worthy one

In joyous surrender
With our eyes fixed on you
May our lives bring you glory to serve you in all that we do

Father hear our song
A song of praise to the worthy one
Father we have come
To offer our lives to the holy one

And we live for your glory and we live by your love
And we sing of your glory and we sing of your love
And we live for your glory and we live by your love
And we sing of your glory and we sing of your love
You might also likeFather hear our song
A song of praise to the worthy one
Father we have come
To offer our lives to the holy one

And we live for your glory and we live by your love
And we sing of your glory and we sing of your loveEmbed"
ML510,The Afters,All That I Am,pos,"3 ContributorsAll That I Am Lyrics[Verse 1]
I feel a burning, deep inside of me
I feel Your Spirit, it's moving around me
I hear Your voice, You're calling me closer
I know that You're here, You're calling me closer

[Pre-Chorus]
And I will

[Chorus]
Love You with all of my heart
Jesus, I'll love You with all of my mind
Jesus, I'll love You with all of my soul
Jesus, I'll love You with all that I am

[Verse 2]
I know that You hear me when I say my prayers
I know that You're with me even when I'm all alone
When I close my eyes, You're calling me closer
When I pull away, You're pulling me closer

[Pre-Chorus]
And I will

[Chorus]
Love You with all of my heart
Jesus, I'll love You with all of my mind
Jesus, I'll love You with all of my soul
Jesus, I'll love You with all that I am
You might also like[Bridge]
You are holy, Lord God Almighty
You are holy, Lord God Almighty
Was and is and soon will come
Was and is and soon will come
Was and is and soon will come
Was and is and soon will come
You were, You are, and now You'll come again
You're coming again
Just like you said, You're coming again

[Pre-Chorus]
And I will

[Chorus]
Love You with all of my heart
Jesus, I'll love You with all of my mind
Jesus, I'll love You with all of my soul
Jesus, I'll love You with all that I am

[Outro]
Jesus, I'll love You with all that I am
Jesus, I'll love You with all that I amEmbed"
ML511,Todd Agnew,Joy Unspeakable,pos,"1 ContributorJoy Unspeakable LyricsI have found His grace is all complete
He supplies my every need
While I sit and learn at Jesus' feet
I am free indeed

What kind of joy is this?

It's joy unspeakable, all You've done for me
It's indescribable, just a taste of Your glory
It's unnatural, not to tell the story of all You've given me
My words are incomplete, it's joy unspeakable

I have found the pleasure I once craved
It's joy and peace within, within
What a wondrous blessing I am saved
From the awful gulf of sin

It's joy unspeakable, all You've done for me
It's indescribable, just a taste of Your glory
It's unnatural, not to tell the story of all You've given me
My words are incomplete

I have found the joy no tongue can tell
How its waves of glory roll
It is like an overflowing well
Springing up within my soul
You might also likeIt's unspeakable, all You've done for me
It's indescribable, just a taste of Your glory
It's unnatural, not to tell the story of all You've given me
My words are incomplete
It's joy unspeakable

Joy unspeakable
What kind of joy is this?Embed"
ML512,Norman Hutchins,Get Ready For Your Miracle,pos,"1 ContributorGet Ready For Your Miracle LyricsGod is up to something
God is up to something

God is up to something
God is up to something
So get ready
Get ready for your miracle

[Chorus:]
God is up to something
God is up to something

God is up to something
God is up to something
Get ready, get ready for your miracle

[Verse:]
Eyes have not seen, ears have not heard
All of the wonderful things that God has in store
So get ready, get ready for your miracle

[Chorus]

[Vamp:]
It's on the way
It's on the way
It's on the way
It's on the way
[repeat as desired]
You might also likeIt's on the way
It's on the way
It's on the way...

[Ending:]
Your miracle is on the way
Get ready, get ready for your miracleEmbed"
ML513,Diana Krall,You're My Thrill,pos,"3 ContributorsYou’re My Thrill LyricsYou're my thrill
You do something to me
You send chills right through me
When I look at you
'Cause you're my thrill

You're my thrill
How my pulse increases
I just go to pieces
When I look at you
'Cause you're my thrill

Nothing seems to matter
Here's my heart on a silver platter
Where's my will
Why this strange desire
That keeps mounting higher
When I look at you
I can't keep still

You, my thrill
You know you are my thrill

Nothing seems to matter
Here's my heart on a silver platter
Where's my will
Why this strange desire
That keeps mounting higher
When I look at you
I can't keep still
You might also likeYou, my thrill
You know you are my thrill1Embed"
ML514,Jonathan Butler,Color Green,pos,"1 ContributorColor Green LyricsDeep is the love
Love that is deep within the sea
Lifting me high
High as the eagle in the sky

Soaring above the cloud
Where I can find the sea
Closer to you, I feel
Your love surrounding me

Like the color green
You're in every stream
You're in everything
Even in my dreams

You're my color green
You're my favorite thing
Like the song I sing
What a precious thing

Great is your love
Touching the deepest part of me
You open my heart
Revealing to me the mystery

You never grow old to me
With you each day is new
For all that you've done for me
I give my life to you, you
You might also likeLike the color green
You're in every stream
You're in everything
Even in my dreams

You're my color green
You're my favorite thing
Like the song I sing
What a precious thing

Like the color green
You're in every stream
You're in everything
Even in my dreams

You're my color green
My favorite thing
Like a song I sing
What a precious thing

You're my color green
You're in every stream
What a precious thing
Like the color green, yes

You're in everything
Like the color green
You're in every stream
You're in everything
Even in my dreams

Like the color green
You're my favorite thing
Like the song I sing
You're in everything
What a precious thing

You're my color green
You're my, you're my everything
You're in every stream
What a precious thingEmbed"
